stock price index 1,stock price index 2,silver price,oil price,platinum price,palladium price,gold price
141.09,68.04,32.0,35.47,153.84,63.05,164.31
219.07,117.83,16.28,10.24,88.52,68.7,115.15
136.52,63.64,33.33,39.71,161.84,68.75,167.35
200.05,101.33,16.86,18.4,118.85,75.27,122.42
411.23,320.23,26.43,45.13,115.27,273.97,170.43
169.58,76.7,20.14,37.06,146.05,72.47,126.86
247.49,143.89,15.78,10.02,92.35,84.2,119.51
107.65,44.56,17.92,34.16,151.84,46.88,118.77
163.2,72.93,23.51,33.91,145.44,69.29,138.43
137.9,62.97,32.67,32.51,155.15,63.33,167.87
425.9,350.47,25.32,50.03,103.66,248.05,166.59
415.39,324.63,26.6,44.88,114.89,270.38,174.7
211.24,108.88,17.14,20.8,112.05,75.9,117.18
135.97,63.58,27.08,33.4,139.04,57.14,153.47
470.89,405.57,23.61,53.99,95.81,190.18,168.74
235.97,145.08,14.61,9.25,75.67,120.32,119.66
203.76,107.18,15.55,10.41,95.51,58.23,119.31
180.72,84.15,19.66,33.78,134.68,70.09,119.82
417.05,318.5,18.21,72.79,81.39,187.89,161.64
142.54,68.63,28.96,36.33,148.1,60.75,158.83
211.46,110.49,15.91,20.04,105.25,69.65,115.12
175.89,82.82,22.24,35.28,142.78,72.5,130.56
243.34,143.28,17.27,9.74,92.09,81.71,123.1
207.17,104.15,16.22,28.9,119.0,77.18,115.11
109.31,45.42,18.18,34.57,151.95,46.5,118.3
245.06,142.06,15.85,9.6,88.9,83.02,118.11
155.37,68.33,22.96,31.19,139.84,65.51,134.3
179.33,83.19,20.11,33.68,137.8,70.1,122.95
124.89,57.72,34.45,36.85,162.9,65.46,172.07
178.64,85.24,19.32,35.14,133.29,70.54,118.29
145.15,69.56,33.55,34.01,158.66,62.74,171.05
188.0,87.83,19.47,36.31,141.7,79.42,125.98
135.96,63.4,34.57,40.56,170.38,70.89,173.02
280.17,166.28,16.61,12.68,96.7,104.39,126.65
291.06,184.66,13.81,14.48,76.49,93.55,113.02
131.24,60.09,33.19,38.28,158.94,67.82,168.97
241.54,141.0,16.92,10.14,92.14,74.7,120.54
451.04,381.23,23.23,49.0,91.26,205.22,167.18
186.71,89.55,20.49,35.22,141.98,74.58,130.62
141.29,68.2,30.47,35.87,149.5,61.27,164.22
107.2,45.34,17.3,32.87,150.0,42.18,121.49
133.58,62.75,28.14,31.02,146.6,62.16,157.93
134.57,62.79,32.62,39.03,159.3,67.73,168.0
353.49,285.26,23.53,28.66,82.0,231.84,175.66
252.32,145.74,16.22,10.21,86.92,86.95,120.83
393.22,306.72,21.1,59.94,90.95,130.87,183.77
348.96,291.8,23.66,28.59,81.66,219.98,178.3
217.04,115.47,16.53,10.08,89.26,67.54,117.12
291.5,186.0,16.93,11.2,83.64,158.89,141.26
335.47,233.61,17.9,11.08,91.91,254.28,154.7
207.04,107.5,15.21,17.8,100.06,63.26,111.36
207.54,104.84,16.37,29.04,118.05,77.64,115.38
271.2,160.58,16.75,12.33,91.4,104.99,125.46
214.58,118.9,17.26,11.21,92.63,59.12,121.01
431.55,337.29,24.53,79.93,104.72,276.4,186.41
197.09,95.92,20.68,37.84,145.28,86.16,126.34
209.28,111.01,14.64,14.52,93.93,58.06,105.72
298.37,191.82,14.79,12.33,77.78,149.74,133.83
187.41,87.0,19.25,36.51,140.73,78.71,124.17
461.63,395.56,21.92,64.93,84.69,89.3,183.49
257.41,153.31,16.54,11.35,88.55,94.49,121.56
385.12,289.63,18.58,76.46,80.84,183.08,162.23
121.58,53.53,27.6,37.57,175.72,70.32,137.24
183.45,87.11,19.16,33.53,137.48,71.86,118.12
149.13,67.56,32.01,34.92,166.86,71.4,163.21
382.25,325.29,24.45,34.96,103.06,221.0,173.9
212.71,109.82,16.82,20.27,111.4999,75.25,115.69
450.73,385.8,21.6,46.53,87.66,162.18,165.24
422.5,332.78,26.84,44.85,118.99,278.74,172.11
289.17,186.57,14.59,13.61,85.49,134.74,120.37
294.57,228.45,16.58,26.09,79.28,182.21,163.21
403.95,290.38,21.85,71.56,93.59,176.92,164.39
335.82,274.33,26.02,26.92,87.87,217.47,182.45
228.7,124.94,16.46,11.295,93.82,72.75,114.32
288.86,183.4,14.43,14.48,75.34,90.0,114.59
278.91,176.39,14.05,12.03,75.33,126.53,120.87
117.17,48.23,17.27,39.32,161.52,47.43,108.75
135.43,59.06,48.28,44.81,182.0,77.08,149.82
125.9,56.74,31.76,38.52,148.88,66.3,165.976
326.47,264.55,21.92,29.59,86.07,203.7,177.18
200.84,99.73,19.03,35.38,137.27,86.29,121.48
198.43,98.67,17.57,34.28,130.2,78.8,117.6
138.52,65.75,29.8,37.84,150.86,65.21,159.47
186.67,87.73,19.58,36.59,138.02,75.65,123.61
403.5,301.54,20.78,82.02,87.84,189.01,169.42
277.19,170.32,13.69,12.86,80.92,105.79,113.66
145.53,66.72,30.85,32.26,156.56,67.8,161.69
290.95,186.54,14.47,13.23,83.65,128.76,120.51
433.66,362.45,25.41,49.85,101.9,265.0,168.76
209.56,107.64,16.35,21.24,110.88,77.19,114.36
238.9,136.28,16.83,10.29,90.53,78.95,120.77
156.29,68.84,23.14,31.41,141.07,65.39,132.87
274.4,162.87,16.54,12.41,92.15,105.5,124.73
189.66,89.29,19.93,36.48,141.14,76.9,125.57
221.52,116.64,16.69,11.16,90.8,70.58,111.83
108.98,43.58,16.07,37.12,154.55,42.57,104.37
143.6,68.54,33.41,36.1,157.98,66.2,167.9
146.77,66.75,30.95,34.04,164.78,70.14,162.65
219.67,115.57,16.19,11.4,88.91,71.2,112.14
197.76,96.8,20.33,37.52,144.74,86.01,125.58
208.88,113.59,14.08,14.06,86.15,56.04,103.83
314.61,205.14,16.44,12.16,84.67,170.85,137.01
250.34,144.7,16.39,10.39,87.95,89.24,121.58
289.84,186.08,13.69,14.85,72.86,91.12,112.93
196.57,104.28,14.78,9.14,89.4,47.37,117.11
151.09,66.86,28.31,32.66,154.92,70.62,152.44
410.58,314.29,23.97,68.54,100.12,138.82,185.75
112.96,50.43,42.08,31.47,184.98,74.26,179.95
264.76,154.2,15.93,11.65,89.05,96.71,121.59
202.16,106.08,15.47,9.92,93.9,55.46,117.87
108.48,44.93,18.19,32.23,152.73,44.69,118.47
261.37,157.98,16.0,12.69,88.4,88.91,126.82
256.0,182.09,15.59,6.44,76.41,197.4,147.79
392.07,313.86,24.59,44.36,110.57,221.31,161.49
110.65,46.36,18.31,33.65,155.78,46.18,117.96
402.8,292.93,22.74,68.68,93.8,151.62,178.76
118.77,52.39,27.5,34.74,163.74,67.32,134.41
323.02,215.64,17.6,13.09,90.39,192.33,147.97
116.95,48.23,17.53,40.4,164.39,48.0,108.95
573.39,490.5,30.74,69.3,92.97,94.65,245.02
377.71,265.75,20.06,76.84,89.64,173.01,155.85
140.52,67.13,31.84,40.53,162.65,68.45,160.21
131.24,56.89,37.31,41.97,174.26,74.79,139.26
229.42,125.8,16.41,11.4,92.95,69.44,113.49
448.4,377.28,22.12,77.6,84.29,110.38,177.83
267.26,163.09,16.32,13.61,87.8,93.35,125.62
120.82,56.9,39.07,33.33,175.21,70.72,175.78
283.2,180.35,15.08,14.34,79.1,88.39,115.77
267.41,163.02,16.19,13.55,88.6,93.68,127.45
386.82,298.0,21.06,58.72,89.59,134.4,178.57
108.52,44.81,17.79,32.4,152.19,45.0,116.84
268.27,158.25,15.83,11.55,87.62,98.41,120.14
463.09,387.3,20.97,50.78,85.11,150.28,165.44
289.37,182.25,14.33,11.23,76.07,128.92,125.33
412.19,315.91,24.21,68.58,103.95,150.09,184.25
233.27,130.81,17.74,10.11,92.4,75.65,119.04
436.24,362.03,25.13,50.51,104.12,265.84,169.22
293.14,187.44,18.75,11.53,92.54,146.76,146.66
125.66,56.37,40.82,36.44,176.75,79.95,161.49
220.52,118.63,16.07,10.1,88.22,72.84,113.27
441.24,353.2,21.63,62.19,94.44,226.39,168.09
288.1,184.36,14.81,13.23,86.2,129.65,122.51
216.08,115.21,18.03,9.88,92.74,65.5,117.1
213.19,110.68,19.84,10.91,105.49,59.95,129.29
183.06,90.43,17.0,30.36,120.75,71.8,119.22
448.04,371.94,22.63,71.7,85.0,115.15,179.54
551.77,491.89,29.48,82.011,93.59,94.23,220.93
166.55,76.73,22.94,37.41,150.67,73.47,134.9
465.58,392.47,24.1,57.79,101.29,191.0,173.15
253.54,146.54,16.29,10.14,87.15,89.01,120.52
120.95,50.09,17.89,40.41,173.46,56.48,112.31
206.37,113.07,13.82,11.23,84.36,55.0,102.75
207.29,106.68,17.03,11.525,102.6,58.55,121.16
208.01,110.83,15.91,10.28,95.05,54.53,117.92
141.79,64.56,29.69,33.17,150.6,68.66,161.16
235.0,131.9,17.9,10.63,91.8,77.5,119.62
385.89,294.71,21.29,60.26,88.51,136.13,178.21
263.87,160.52,15.82,13.69,85.45,90.35,123.71
271.62,167.68,15.97,14.44,84.24,93.05,122.41
279.84,174.48,16.16,12.31,92.3,94.05,125.78
242.68,138.35,16.34,9.22,88.25,82.38,119.32
419.89,334.37,26.32,44.06,116.66,268.89,171.59
301.41,239.98,17.25,27.81,76.0,178.83,166.63
206.52,105.96,17.25,10.86,104.25,59.36,122.96
208.46,107.69,17.0,11.16,100.05,59.2,121.29
214.02,117.77,17.31,11.57,90.7,61.35,121.11
188.27,100.24,14.33,14.51,87.98,62.76,107.98
381.81,286.73,20.59,64.51,91.54,130.96,177.86
195.11,103.31,14.45,8.86,88.62,47.45,118.64
310.24,236.26,17.14,27.17,78.35,184.52,159.6
188.8,87.31,19.39,36.64,140.5,78.64,124.94
393.84,298.53,17.9,77.3,81.57,184.49,160.04
436.95,371.73,21.15,76.58,81.31,106.74,173.26
164.16,72.95,22.28,32.89,143.06,72.24,134.61
217.61,116.38,18.24,10.62,101.14,64.86,124.78
186.32,89.82,20.79,35.27,143.42,75.01,131.76
174.78,84.64,19.64,34.83,135.18,69.7,121.29
235.52,130.03,17.5,11.63,95.0,73.55,117.75
375.89,275.69,18.44,70.24,86.15,186.78,153.65
144.18,67.25,33.56,34.25,164.22,64.0,170.84
117.68,54.01,41.39,33.69,181.75,73.72,180.7
237.75,131.86,16.93,10.42,92.05,74.45,116.99
205.51,106.55,16.01,11.51,96.74,53.0,119.37
237.03,131.65,17.02,10.26,92.6,74.48,117.5645
211.05,109.17,19.44,10.91,104.96,58.79,130.52
453.75,369.79,23.61,61.24,98.3,192.9,171.65
326.45,268.4,20.28,29.98,81.89,202.71,173.0
471.87,401.91,22.22,67.3,86.87,91.6,187.93
110.08,44.54,16.17,38.4,153.16,43.8,109.98
504.94,430.9,27.3,81.31,89.28,94.1,221.22
109.17,45.36,17.81,34.5,155.43,48.52,115.49
373.81,314.05,25.32,32.95,98.0,217.69,176.35
209.61,107.63,16.07,20.49,109.56,75.74,114.5
187.14,86.98,19.37,36.26,141.2101,79.34,126.22
207.11,114.16,13.56,10.96,83.69,53.19,101.42
436.81,337.35,25.06,80.81,94.0,223.65,184.61
129.49,56.63,26.67,36.29,177.7,78.44,131.16
390.99,292.83,19.72,66.37,87.74,128.91,173.87
559.71,472.48,29.19,70.2,91.56,97.9,238.68
217.03,115.84,16.71,9.73,89.7,65.83,116.11
286.04,182.24,14.58,12.88,80.71,135.16,121.98
554.54,481.41,27.77,76.96,87.02,83.28,222.58
361.8,271.03,18.16,65.64,79.91,203.79,154.67
271.94,168.39,16.02,14.54,84.5,94.06,122.36
188.77,99.44,15.08,8.495,90.5,49.15,114.77
307.91,200.84,16.41,11.8,82.0,161.38,137.98
145.64,69.24,34.49,32.99,167.59,65.26,173.61
314.86,205.52,16.36,11.93,84.68,172.9,137.86
283.16,178.94,14.1,12.37,75.46,123.8476,121.17
131.72,56.52,40.42,43.24,176.66,77.27,141.61
413.1,319.7,26.24,43.92,114.57,273.6,172.14
209.43,114.395,13.74,13.09,80.85,53.22,101.25
282.74,168.64,16.39,12.84,95.0,103.79,127.28
201.36,99.83,18.15,35.18,130.8,80.34,117.78
355.27,290.01,23.93,28.52,83.75,217.72,177.16
286.06,222.66,15.01,21.05,72.03,171.5,161.58
186.79,90.63,20.83,37.18,141.51,73.33,128.68
199.32,106.28,14.43,14.99,96.0,56.19,106.13
126.51,56.17,28.13,38.88,138.54,64.66,151.03
169.79,74.99,20.08,37.86,141.72,72.33,127.48
376.1,310.28,26.23,34.35,104.05,227.0,179.48
398.92,306.43,18.03,75.18,82.02,181.37,160.67
195.34,92.67,18.92,38.33,143.72,82.94,121.39
434.74,361.77,24.28,48.68,101.22,249.7,169.09
420.33,334.07,26.57,45.07,110.85,256.4,177.95
434.19,365.67,22.17,79.72,82.58,103.86,180.87
257.77,152.39,16.75,11.0,88.33,95.43,120.62
342.96,285.05,23.95,28.3,81.7,222.27,178.83
136.01,64.33,27.22,32.15,142.9,57.7,152.15
472.06,398.25,22.1,52.98,89.06,183.66,169.37
280.44,178.08,14.27,15.05,79.4,102.24,115.79
336.83,233.38,16.97,10.82,90.77,220.01,147.54
158.67,69.78,23.99,33.33,147.78,68.03,142.3
365.37,299.21,23.28,31.84,96.87,220.26,172.17
293.7,188.03,14.95,12.035,76.92,145.42,134.2
210.26,111.275,14.56,13.93,95.62,58.03,107.11
332.44,225.64,17.31,11.49,94.7,229.49,147.98
136.91,64.97,30.78,39.37,153.54,66.65,159.3
128.85,55.23,36.48,39.58,181.41,80.37,149.24
263.42,158.88,16.05,12.8,87.17,86.28,126.39
205.14,110.04,14.99,9.49,92.25,51.52,118.61
149.72,66.42,28.63,33.45,157.96,72.7,156.22
135.06,63.86,32.7,40.03,160.45,66.73,163.63
125.8,54.79,30.55,38.45,174.63,79.2,137.03
198.09,96.65,20.14,37.51,143.24,85.26,125.791
257.52,153.38,16.64,11.07,89.0,94.13,121.4
133.07,59.18,38.29,38.52,174.8,78.28,156.02
135.67,59.1,37.19,40.67,177.28,71.68,146.54
207.29,104.94,16.35,27.97,118.95,77.6,115.16
228.82,125.49,17.01,11.49,95.25,71.32,116.13
299.14,192.19,17.55,11.92,90.16,146.73,141.39
209.44,114.475,13.9,12.92,81.5,53.03,102.28
241.2,140.315,16.81,10.5,91.15,73.45,119.48
279.35,165.58,16.66,12.81,94.65,105.46,127.17
293.05,226.33,16.57,24.04,77.36,189.21,162.69
116.91,52.21,39.21,32.55,170.69,72.51,167.119
432.53,358.17,25.05,50.0,101.7,261.43,169.21
473.86,409.0,23.46,69.63,89.88,114.14,190.27
182.45,87.19,19.18,35.43,130.12,68.17,115.57
128.39,60.57,28.16,31.34,141.76,60.36,157.32
183.32,85.06,19.2,37.38,140.1,77.26,125.49
135.63,63.52,33.59,39.06,162.3,68.31,168.108
432.03,342.51,23.66,67.38,98.42,233.28,178.38
398.73,310.27,21.43,61.39,91.55,131.39,183.44
119.69,52.25,27.14,35.0,164.96,70.01,133.48
289.26,182.48,14.52,10.92,76.35,136.87,126.56
390.37,270.83,22.985,66.49,101.17,164.59,174.1
282.73,169.65,16.81,12.91,95.55,100.0,127.65
405.86,299.48,21.31,69.02,89.37,146.36,173.36
248.04,145.3,17.39,9.665,95.29,89.75,126.19
328.32,268.05,23.48,29.15,86.55,199.01,185.64
116.38,53.09,30.9,37.08,151.22,56.63,163.4
126.58,55.72,28.83,38.08,173.38,75.13,134.12
368.55,271.2,17.93,71.4,84.22,193.0,152.98
144.39,68.68,33.49,36.17,162.14,67.1,167.92
469.32,399.16,23.46,57.21,98.8,192.82,171.29
373.61,282.99,17.64,71.02,77.67,177.01,159.33
399.52,294.62,20.94,66.4,88.57,139.53,169.66
435.21,370.57,21.42,77.71,81.0,104.71,178.83
335.37,271.62,25.94,29.19,88.07,216.01,183.2
131.34,58.13,40.24,38.16,175.94,78.68,154.66
437.16,359.58,21.84,56.41,96.0,200.02,163.92
425.98,359.46,22.14,81.59,82.71,101.91,183.59
290.68,188.4,14.4,13.72,84.19,130.62,120.12
193.61,95.38,19.74,35.96,143.34,85.84,125.99
455.5,369.76,21.84,62.78,96.86,223.99,168.84
381.22,308.78,25.06,41.87,108.46,222.03,159.04
181.09,85.83,19.42,33.47,132.31,70.17,117.58
337.49,274.28,26.13,26.74,89.19,219.5,183.89
333.69,271.86,23.53,26.94,82.0,213.75,178.92
190.63,100.44,15.18,8.19,91.7,47.92,117.61
194.87,92.66,18.77,37.66,141.31,82.07,120.61
